pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2024-01-01	Advancing blast fragmentation simulation of RC slabs: A graph neural network approach	Engineering Structures	This paper is about data-driven simulation of close-in blast fragmentation of concrete slabs using GNN	Li, Qilin, et al. "Advancing blast fragmentation simulation of RC slabs: A graph neural network approach." Engineering Structures 308 (2024):118009.	https://www.sciencedirect.com/science/article/pii/S0141029624005716	xxx
2024-01-01	Machine learning prediction of BLEVE loading with graph neural networks	Reliability Engineering & System Safety	This paper is about data-driven simulation of BLEVE blast wave propagation	Li, Qilin, et al. "Machine learning prediction of BLEVE loading with graph neural networks." Reliability Engineering & System Safety 241 (2024):109639.	https://www.sciencedirect.com/science/article/pii/S0951832023005537	xxx
